7/31/18,-8.25,*,FAST_FOOD,ARAMARK@JPMC GRAB & GO NEW YORK NY
7/31/18,-3.04,*,FAST_FOOD,JPMC 270 PRK NEWSSTAND NEW YORK NY
7/30/18,-9.05,*,FAST_FOOD,ARAMARK@JPMC NEWPORT JERSEY CITY NJ
7/30/18,-10.45,*,FAST_FOOD,CHIPOTLE 1631 NEW YORK NY
7/29/18,-6.48,*,FAST_FOOD,STARBUCKS STORE 07282 NEW YORK NY
7/28/18,-6.3,*,FAST_FOOD,MCDONALD'S F2767 NEW YORK NY
7/28/18,-10.32,*,FAST_FOOD,SARKU JAPAN 107 JERSEY CITY NJ
7/27/18,-15,*,RESTAURANT,RAAZ JERSEY CITY NJ
7/26/18,-11.47,*,FAST_FOOD,ARAMARK@JPMC NEWPORT JERSEY CITY NJ
7/26/18,-1.25,*,FAST_FOOD,CMSVEND*ATLANTIC VENDING WALL TOWNSHIPNJ
7/26/18,-9.56,*,FAST_FOOD,MCDONALD'S F2767 NEW YORK NY
7/25/18,-10.97,*,FAST_FOOD,ARAMARK@JPMC NEWPORT JERSEY CITY NJ
7/24/18,-25,*,HEALTH,GREENWHICH VILLAGE NEW YORK NY
7/24/18,-19.28,*,PHARMACY,WALGREENS #9731 NEW YORK NY
7/24/18,-1.5,*,FAST_FOOD,CMSVEND*ATLANTIC VENDING WALL TOWNSHIPNJ
7/24/18,-10,*,EDUCATION,NYU CAMPUS SERVICES 212-995-4025 NY
7/23/18,-14.23,*,FAST_FOOD,ARAMARK@JPMC NEWPORT JERSEY CITY NJ
7/23/18,-7.2,*,RENTAL_CAR,LYFT *RIDE SUN 1PM 8552800278 CA
7/23/18,-1.25,*,FAST_FOOD,CMSVEND*ATLANTIC VENDING WALL TOWNSHIPNJ
7/23/18,-7.71,*,PHARMACY,CVS/PHARMACY #02558 NEW YORK NY
7/23/18,-20.69,*,RESTAURANT,TST* TACO DUMBO - PENNSY NEW YORK NY
7/23/18,-12,*,HEALTH,THE THREADING STATION JERSEY CITY NJ
7/22/18,-8.8,*,RENTAL_CAR,TAXI SVC NEW YORK NEW YORK NY
7/22/18,-10.89,*,FAST_FOOD,SQ *MANJU New York NY
7/22/18,-121,*,PUBLIC_TRANSPORTATION,MTA MVM*N080-W 4 ST-WAS NEW YORK NY
7/22/18,-25.98,*,SHOPPING,H&M0279 NEW YORK NY
7/21/18,-5.93,*,FAST_FOOD,STARBUCKS STORE 07446 NEW YORK NY
7/21/18,-29.75,*,SHOPPING,MACYS HERALD SQUARE NEW YORK NY
7/21/18,-6.74,*,PHARMACY,CVS/PHARMACY #02558 NEW YORK NY
7/21/18,-54.55,*,RESTAURANT,JUNIPER NEW YORK NY
7/21/18,-9.53,*,FAST_FOOD,GONG CHA NEW YORK NY
7/20/18,-9,*,GROCERIES,SQ *LADY M NOMAD NEW YORK NY
7/20/18,-15,*,RESTAURANT,RAAZ JERSEY CITY NJ
7/20/18,-10.83,*,RESTAURANT,BY CHLOE NEW YORK NY
7/19/18,-11.2,*,FAST_FOOD,CHIPOTLE 2627 JERSEY CITY NJ
7/18/18,-20,*,EDUCATION,STANFORD MEYER TECH DESK 650-799-9220 CA
7/18/18,-1.25,*,FAST_FOOD,CMSVEND*ATLANTIC VENDING WALL TOWNSHIPNJ
7/18/18,-11.07,*,FAST_FOOD,BURGER KING #7249 JERSEY CITY NJ
7/17/18,-5.35,*,FAST_FOOD,IN *SERGIOSICECREAM 201-4012661 NJ
7/17/18,-5.93,*,RENTAL_CAR,LYFT *RIDE MON 1AM 8552800278 CA
7/17/18,-10.64,*,FAST_FOOD,JOHNNY ROCKETS 510 JERSEY CITY NJ
7/17/18,-15,*,RESTAURANT,RAAZ JERSEY CITY NJ
7/16/18,-11.3,*,FAST_FOOD,ARAMARK@JPMC NEWPORT JERSEY CITY NJ
7/16/18,-5.43,*,PHARMACY,CVS/PHARMACY #02558 NEW YORK NY
7/16/18,-2.65,*,PHARMACY,CVS/PHARMACY #02558 NEW YORK NY
7/16/18,-8.85,*,FAST_FOOD,CHIPOTLE 2627 JERSEY CITY NJ
7/16/18,-5,*,RENTAL_CAR,ZIPCAR INC. 866-494-7227 MA
7/15/18,-8.3,*,RENTAL_CAR,TAXI SVC 41-25 36TH ST LONG IS CITY NY
7/15/18,-14,*,RESTAURANT,LOVAGE LOCATION NY
7/15/18,-10.89,*,FAST_FOOD,SQ *SS TEA CAFE NEW YORK NY
7/15/18,-22.1,*,RESTAURANT,BT TIXALLIVYPENTHOUS 833-288-6006 NY
7/15/18,-6.75,*,RENTAL_CAR,LYFT *RIDE SAT 10PM 8552800278 CA
